residue,max_run_1s,max_run_0s,hamming_weight,alternations,trailing_ones,tz_3n1,mod3,mod9,mod27,entropy,avg_odd_mult,count,avg_stopping_time,avg_v2,avg_peak
513,1,8,2,2,1,2,0,0,0,0.721928,0.961358,48828,122.625,2,1.56219e+008
515,2,7,3,2,2,1,2,2,2,0.881291,0.932415,48828,107.246,1,8.01177e+007
517,1,6,3,4,1,4,1,4,4,0.881291,0.950291,48828,114.994,4,9.47515e+007
519,3,6,4,2,3,1,0,6,6,0.970951,0.967985,48828,122.439,1,2.44065e+008
521,1,5,3,4,1,2,2,8,8,0.881291,0.959898,48828,115.013,2,9.93084e+007
523,2,5,4,4,2,1,1,1,10,0.970951,0.9463,48828,114.994,1,9.47515e+007
525,2,5,4,4,1,3,0,3,12,0.970951,0.898965,48828,99.6935,3,7.61751e+007
527,4,5,5,2,4,1,2,5,14,1,0.991783,48828,122.635,1,1.62765e+008
529,1,4,3,4,1,2,1,7,16,0.881291,0.909437,48828,99.6935,2,7.61751e+007
531,2,4,4,4,2,1,0,0,18,0.970951,0.968322,48828,122.456,1,1.56787e+008
533,1,4,4,6,1,6,2,2,20,0.970951,0.946429,48828,107.313,6,7.94321e+007
535,3,4,5,4,3,1,1,4,22,1,0.963881,48828,114.844,1,1.06492e+008
537,2,4,4,4,1,2,0,6,24,0.970951,0.954429,48828,114.844,2,1.06492e+008
539,2,4,5,4,2,1,2,8,26,1,1.00012,48828,130.103,1,7.59676e+008
541,3,4,5,4,1,3,1,1,1,1,0.933778,48828,107.29,3,8.03199e+007
543,5,4,6,2,5,1,0,3,3,0.970951,0.991208,48828,130.173,1,2.69936e+009
545,1,4,3,4,1,2,2,5,5,0.881291,0.943673,48828,114.975,2,9.63212e+007
547,2,3,4,4,2,1,1,7,7,0.970951,0.938586,48828,107.313,1,7.94321e+007
549,1,3,4,6,1,4,0,0,9,0.970951,0.979201,48828,122.425,4,1.45084e+008
551,3,3,5,4,3,1,2,2,11,1,0.974504,48828,114.695,1,9.387e+007
553,1,3,4,6,1,2,1,4,13,0.970951,1.00817,48828,137.808,2,8.35452e+008
555,2,3,5,6,2,1,0,6,15,1,0.941754,48828,107.313,1,7.94321e+007
557,2,3,5,6,1,3,2,8,17,1,0.946279,48828,115.066,3,9.69322e+007
559,4,3,6,4,4,1,1,1,19,0.970951,1.00807,48828,137.885,1,1.036e+009
561,2,3,4,4,1,2,0,3,21,0.970951,0.978663,48828,122.509,2,1.52718e+008
563,2,3,5,4,2,1,2,5,23,1,0.975036,48828,122.509,1,1.52718e+008
565,2,3,5,6,1,5,1,7,25,1,0.892898,48828,92.0282,5,7.55559e+007
567,3,3,6,4,3,1,0,0,0,0.970951,1.01413,48828,137.779,1,1.41301e+009
569,3,3,5,4,1,2,2,2,2,1,0.961687,48828,122.795,2,1.5833e+008
571,3,3,6,4,2,1,1,4,4,0.970951,0.955573,48828,114.926,1,9.93221e+007
573,4,3,6,4,1,3,0,6,6,0.970951,0.95791,48828,115.003,3,9.61174e+007
575,6,3,7,2,6,1,2,8,8,0.881291,1.00136,48828,122.56,1,2.60281e+008
577,1,5,3,4,1,2,1,1,10,0.881291,0.920351,48828,107.412,2,8.01666e+007
579,2,4,4,4,2,1,0,3,12,0.970951,0.947625,48828,107.412,1,8.01666e+007
581,1,3,4,6,1,4,2,5,14,0.970951,0.923479,48828,107.417,4,7.99277e+007
583,3,3,5,4,3,1,1,7,16,1,0.975609,48828,122.365,1,1.5236e+008
585,1,2,4,6,1,2,0,0,18,0.970951,0.973225,48828,122.217,2,1.51879e+008
587,2,2,5,6,2,1,2,2,20,1,0.946973,48828,107.417,1,7.99278e+007
589,2,2,5,6,1,3,1,4,22,1,0.928643,48828,107.417,3,7.99278e+007
591,4,2,6,4,4,1,0,6,24,0.970951,0.97533,48828,122.514,1,1.46752e+008
593,1,3,4,6,1,2,2,8,26,0.970951,0.968011,48828,122.282,2,1.63276e+008
595,2,2,5,6,2,1,1,1,1,1,0.98297,48828,122.282,1,1.63276e+008
597,1,2,5,8,1,8,0,3,3,1,0.944199,48828,99.6451,8,7.68575e+007
599,3,2,6,6,3,1,2,5,5,0.970951,0.958101,48828,114.854,1,1.00953e+008
601,2,2,5,6,1,2,1,7,7,1,0.979093,48828,122.479,2,1.95343e+008
603,2,2,6,6,2,1,0,0,9,0.970951,0.990804,48828,129.969,1,4.75808e+008
605,3,2,6,6,1,3,2,2,11,0.970951,0.92956,48828,99.8736,3,7.70563e+007
607,5,2,7,4,5,1,1,4,13,0.881291,0.984569,48828,122.566,1,1.93385e+008
609,2,4,4,4,1,2,0,6,15,0.970951,0.961061,48828,115.338,2,9.25107e+007
611,2,3,5,4,2,1,2,8,17,1,0.952849,48828,107.419,1,8.08113e+007
613,2,2,5,6,1,4,1,1,19,1,0.929303,48828,107.419,4,8.08113e+007
615,3,2,6,4,3,1,0,3,21,0.970951,1.00047,48828,130.289,1,4.4494e+008
617,2,2,5,6,1,2,2,5,23,1,0.993265,48828,130.103,2,3.2798e+008
619,2,2,6,6,2,1,1,7,25,0.970951,0.966659,48828,122.747,1,1.55563e+008
621,2,2,6,6,1,3,0,0,0,0.970951,0.973557,48828,122.563,3,1.41779e+008
623,4,2,7,4,4,1,2,2,2,0.881291,0.991629,48828,130.292,1,2.96119e+008
625,3,3,5,4,1,2,1,4,4,1,0.924067,48828,99.6451,2,7.68576e+007
627,3,2,6,4,2,1,0,6,6,0.970951,0.968356,48828,122.604,1,1.34909e+008
629,3,2,6,6,1,5,2,8,8,0.970951,0.963292,48828,114.504,5,9.48446e+007
631,3,2,7,4,3,1,1,1,10,0.881291,0.950293,48828,107.144,1,8.05892e+007
633,4,2,6,4,1,2,0,3,12,0.970951,0.976243,48828,122.785,2,2.12158e+008
635,4,2,7,4,2,1,2,5,14,0.881291,0.959838,48828,114.813,1,9.31891e+007
637,5,2,7,4,1,3,1,7,16,0.881291,0.99289,48828,130.137,3,3.5751e+008
639,7,2,8,2,7,1,0,0,18,0.721928,1.0266,48828,145.636,1,3.39893e+009
641,1,6,3,4,1,2,2,2,20,0.881291,0.986361,48828,130.16,2,4.12705e+008
643,2,5,4,4,2,1,1,4,22,0.970951,0.924685,48828,99.6451,1,7.68576e+007
645,1,4,4,6,1,4,0,6,24,0.970951,0.950277,48828,115.017,4,9.72359e+007
647,3,4,5,4,3,1,2,8,26,1,0.955736,48828,115.05,1,1.0062e+008
649,1,3,4,6,1,2,1,1,1,0.970951,0.991368,48828,130.151,2,4.05809e+008
651,2,3,5,6,2,1,0,3,3,1,0.954857,48828,115.017,1,9.72359e+007
653,2,3,5,6,1,3,2,5,5,1,0.938133,48828,107.203,3,7.99907e+007
655,4,3,6,4,4,1,1,7,7,0.970951,1.0031,48828,130.175,1,3.21571e+008
657,1,3,4,6,1,2,0,0,9,0.970951,0.943635,48828,114.879,2,9.45165e+007
659,2,2,5,6,2,1,2,2,11,1,0.951654,48828,114.879,1,9.45165e+007
661,1,2,5,8,1,6,1,4,13,1,0.978573,48828,114.897,6,9.13187e+007
663,3,2,6,6,3,1,0,6,15,0.970951,0.963399,48828,107.203,1,7.99908e+007
665,2,2,5,6,1,2,2,8,17,1,0.96817,48828,122.549,2,5.5639e+008
667,2,2,6,6,2,1,1,1,19,0.970951,1.00811,48828,137.896,1,9.49139e+008
669,3,2,6,6,1,3,0,3,21,0.970951,0.96787,48828,122.349,3,1.53581e+008
671,5,2,7,4,5,1,2,5,23,0.881291,1.01248,48828,137.956,1,1.1982e+009
673,1,4,4,6,1,2,1,7,25,0.970951,0.96574,48828,122.372,2,1.76343e+008
675,2,3,5,6,2,1,0,0,0,1,0.991606,48828,122.638,1,1.43563e+008
677,1,2,5,8,1,4,2,2,2,1,1.00309,48828,130.313,4,7.85658e+008
679,3,2,6,6,3,1,1,4,4,0.970951,0.990923,48828,129.943,1,3.24724e+008
681,1,2,5,8,1,2,0,6,6,1,1.02648,48828,145.574,2,4.65051e+009
683,2,1,6,8,2,1,2,8,8,0.970951,0.961416,48828,122.604,1,2.53924e+008
685,2,1,6,8,1,3,1,1,10,0.970951,0.938753,48828,115.261,3,9.51431e+007
687,4,1,7,6,4,1,0,3,12,0.881291,0.973265,48828,122.432,1,2.06749e+008
689,2,3,5,6,1,2,2,5,14,1,0.919978,48828,107.212,2,8.08385e+007
691,2,2,6,6,2,1,1,7,16,0.970951,0.92896,48828,107.212,1,8.08385e+007
693,2,1,6,8,1,5,0,0,18,0.970951,0.929664,48828,107.401,5,7.98482e+007
695,3,1,7,6,3,1,2,2,20,0.881291,0.973427,48828,122.505,1,1.46693e+008
697,3,2,6,6,1,2,1,4,22,0.970951,0.943475,48828,114.833,2,9.81495e+007
699,3,1,7,6,2,1,0,6,24,0.881291,0.973441,48828,122.612,1,1.79067e+008
701,4,1,7,6,1,3,2,8,26,0.881291,0.954415,48828,114.856,3,1.11227e+008
703,6,1,8,4,6,1,1,1,1,0.721928,1.00863,48828,138.271,1,9.67498e+008
705,2,5,4,4,1,2,0,3,3,0.970951,0.91918,48828,107.401,2,7.98483e+007
707,2,4,5,4,2,1,2,5,5,1,0.978874,48828,122.416,1,1.39782e+008
709,2,3,5,6,1,4,1,7,7,1,0.89987,48828,99.5312,4,7.69226e+007
711,3,3,6,4,3,1,0,0,9,0.970951,0.95968,48828,114.818,1,9.43746e+007
713,2,2,5,6,1,2,2,2,11,1,0.964137,48828,115.022,2,9.73801e+007
715,2,2,6,6,2,1,1,4,13,0.970951,0.978985,48828,122.604,1,1.56978e+008
717,2,2,6,6,1,3,0,6,15,0.970951,0.900387,48828,99.5312,3,7.69226e+007
719,4,2,7,4,4,1,2,8,17,0.881291,1.01375,48828,137.679,1,1.30875e+009
721,2,3,5,6,1,2,1,1,19,1,0.94387,48828,115.172,2,9.83026e+007
723,2,2,6,6,2,1,0,3,21,0.970951,0.968153,48828,115.172,1,9.83026e+007
725,2,1,6,8,1,7,2,5,23,0.970951,0.924215,48828,99.6426,7,7.62594e+007
727,3,1,7,6,3,1,1,7,25,0.881291,0.966527,48828,114.945,1,9.87398e+007
729,2,2,6,6,1,2,0,0,0,0.970951,0.935982,48828,107.256,2,8.13403e+007
731,2,1,7,6,2,1,2,2,2,0.881291,0.993254,48828,130.225,1,2.73643e+008
733,3,1,7,6,1,3,1,4,4,0.881291,0.951207,48828,114.642,3,9.42751e+007
735,5,1,8,4,5,1,0,6,6,0.721928,0.982371,48828,122.205,1,2.09026e+008
737,3,4,5,4,1,2,2,8,8,1,0.990901,48828,129.912,2,3.33108e+008
739,3,3,6,4,2,1,1,1,10,0.970951,0.94434,48828,99.6426,1,7.62594e+007
741,3,2,6,6,1,4,0,3,12,0.970951,0.932059,48828,107.066,4,8.29512e+007
743,3,2,7,4,3,1,2,5,14,0.881291,1.00791,48828,137.66,1,1.19468e+009
745,3,2,6,6,1,2,1,7,16,0.970951,0.986977,48828,130.268,2,4.67854e+008
747,3,1,7,6,2,1,0,0,18,0.881291,0.976526,48828,122.674,1,1.49605e+008
749,3,1,7,6,1,3,2,2,20,0.881291,0.945564,48828,114.769,3,9.9082e+007
751,4,1,8,4,4,1,1,4,22,0.721928,1.01225,48828,137.909,1,9.17233e+008
753,4,3,6,4,1,2,0,6,24,0.970951,0.906634,48828,99.6426,2,7.62595e+007
755,4,2,7,4,2,1,2,8,26,0.881291,0.993057,48828,130.186,1,7.25599e+008
757,4,1,7,6,1,5,1,1,1,0.881291,0.963618,48828,114.675,5,9.4237e+007
759,4,1,8,4,3,1,0,3,3,0.721928,0.967885,48828,122.188,1,1.8331e+008
761,5,2,7,4,1,2,2,5,5,0.881291,0.959673,48828,114.667,2,1.07834e+008
763,5,1,8,4,2,1,1,7,7,0.721928,0.991036,48828,129.896,1,7.37914e+008
765,6,1,8,4,1,3,0,0,9,0.721928,0.993066,48828,130.105,3,3.43457e+008
767,8,1,9,2,8,1,2,2,11,0.468996,1.02666,48828,145.698,1,4.22305e+009
769,2,7,3,2,1,2,1,4,13,0.881291,0.924777,48828,107.043,2,7.98836e+007
771,2,6,4,2,2,1,0,6,15,0.970951,0.955614,48828,114.78,1,9.20557e+007
773,2,5,4,4,1,4,2,8,17,0.970951,0.922704,48828,107.295,4,8.01828e+007
775,3,5,5,2,3,1,1,1,19,1,0.973041,48828,122.354,1,1.386e+008
777,2,4,4,4,1,2,0,3,21,0.970951,0.986358,48828,129.932,2,3.4093e+008
779,2,4,5,4,2,1,2,5,23,1,0.967746,48828,122.298,1,2.48158e+008
781,2,4,5,4,1,3,1,7,25,1,0.957921,48828,114.952,3,9.76974e+007
783,4,4,6,2,4,1,0,0,0,0.970951,0.976377,48828,107.295,1,8.94277e+007
785,2,3,4,4,1,2,2,2,2,0.970951,0.945914,48828,114.952,2,9.76974e+007
787,2,3,5,4,2,1,1,4,4,1,0.972925,48828,122.305,1,1.82653e+008
789,2,3,5,6,1,6,0,6,6,1,0.892838,48828,91.9832,6,7.54841e+007
791,3,3,6,4,3,1,2,8,8,0.970951,0.991591,48828,122.592,1,1.51798e+008
793,2,3,5,4,1,2,1,1,10,1,0.993025,48828,130.245,2,3.69332e+008
795,2,3,6,4,2,1,0,3,12,0.970951,1.02618,48828,145.403,1,3.46201e+009
797,3,3,6,4,1,3,2,5,14,0.970951,0.943945,48828,115.099,3,9.92859e+007
799,5,3,7,2,5,1,1,7,16,0.881291,0.993513,48828,130.497,1,2.84392e+009
801,2,4,4,4,1,2,0,0,18,0.970951,0.950035,48828,115.024,2,1.36722e+008
803,2,3,5,4,2,1,2,2,20,1,0.937133,48828,107.672,1,8.20229e+007
805,2,2,5,6,1,4,1,4,22,1,0.948639,48828,107.672,4,8.20229e+007
807,3,2,6,4,3,1,0,6,24,0.970951,0.992707,48828,129.84,1,3.69884e+008
809,2,2,5,6,1,2,2,8,26,1,0.988215,48828,122.372,2,5.78187e+008
811,2,2,6,6,2,1,1,1,1,0.970951,0.944545,48828,115.154,1,9.72753e+007
813,2,2,6,6,1,3,0,3,3,0.970951,0.922847,48828,107.384,3,7.96824e+007
815,4,2,7,4,4,1,2,5,5,0.881291,0.976306,48828,122.553,1,1.40413e+008
817,2,3,5,4,1,2,1,7,7,1,0.932575,48828,107.384,2,7.96824e+007
819,2,2,6,4,2,1,0,0,9,0.970951,0.928092,48828,107.384,1,7.96824e+007
821,2,2,6,6,1,5,2,2,11,0.970951,0.902795,48828,99.6836,5,7.67174e+007
823,3,2,7,4,3,1,1,4,13,0.881291,0.983535,48828,122.717,1,1.70926e+008
825,3,2,6,4,1,2,0,6,15,0.970951,0.966594,48828,122.814,2,1.88149e+008
827,3,2,7,4,2,1,2,8,17,0.881291,0.964086,48828,114.849,1,9.36404e+007
829,4,2,7,4,1,3,1,1,19,0.881291,0.975166,48828,122.218,3,1.41391e+008
831,6,2,8,2,6,1,0,3,21,0.721928,0.99766,48828,130.011,1,4.38896e+008
833,2,5,4,4,1,2,2,5,23,0.970951,0.918769,48828,99.6836,2,7.67174e+007
835,2,4,5,4,2,1,1,7,25,1,0.956423,48828,115.14,1,9.60371e+007
837,2,3,5,6,1,4,0,0,0,1,0.928965,48828,107.232,4,8.04265e+007
839,3,3,6,4,3,1,2,2,2,0.970951,0.9913,48828,130.124,1,3.19204e+008
841,2,2,5,6,1,2,1,4,4,1,0.954947,48828,115.012,2,1.43164e+008
843,2,2,6,6,2,1,0,6,6,0.970951,0.935708,48828,107.232,1,8.04265e+007
845,2,2,6,6,1,3,2,8,8,0.970951,0.951424,48828,114.853,3,9.27815e+007
847,4,2,7,4,4,1,1,1,10,0.881291,0.973573,48828,122.535,1,1.76286e+008
849,2,3,5,6,1,2,0,3,12,1,0.973006,48828,122.337,2,1.6905e+008
851,2,2,6,6,2,1,2,5,14,0.970951,0.997491,48828,129.917,1,4.04308e+008
853,2,1,6,8,1,9,1,7,16,0.970951,0.918377,48828,92.0202,9,7.53291e+007
855,3,1,7,6,3,1,0,0,18,0.881291,0.979733,48828,122.914,1,1.3779e+008
857,2,2,6,6,1,2,2,2,20,0.970951,0.932654,48828,107.407,2,8.27896e+007
859,2,1,7,6,2,1,1,4,22,0.881291,0.986469,48828,129.823,1,4.0891e+008
861,3,1,7,6,1,3,0,6,24,0.881291,0.958166,48828,114.921,3,9.88071e+007
863,5,1,8,4,5,1,2,8,26,0.721928,0.990216,48828,114.893,1,5.58919e+008
865,2,4,5,4,1,2,1,1,1,1,0.986582,48828,130.131,2,7.61513e+008
867,2,3,6,4,2,1,0,3,3,0.970951,0.925263,48828,99.5703,1,7.65662e+007
869,2,2,6,6,1,4,2,5,5,0.970951,0.924237,48828,99.5703,4,7.65662e+007
871,3,2,7,4,3,1,1,7,7,0.881291,1.02632,48828,145.496,1,2.89925e+009
873,2,2,6,6,1,2,0,0,9,0.970951,0.979223,48828,122.713,2,1.66344e+008
875,2,1,7,6,2,1,2,2,11,0.881291,0.960478,48828,115.18,1,1.3451e+008
877,2,1,7,6,1,3,1,4,13,0.881291,0.954722,48828,114.83,3,9.36432e+007
879,4,1,8,4,4,1,0,6,15,0.721928,0.99265,48828,129.877,1,3.10586e+008
881,3,3,6,4,1,2,2,8,17,0.970951,0.945676,48828,107.032,2,7.8878e+007
883,3,2,7,4,2,1,1,1,19,0.881291,0.933914,48828,107.217,1,8.14784e+007
885,3,1,7,6,1,5,0,3,21,0.881291,0.937789,48828,107.032,5,7.8878e+007
887,3,1,8,4,3,1,2,5,23,0.721928,0.951459,48828,114.843,1,9.88739e+007
889,4,2,7,4,1,2,1,7,25,0.881291,0.991085,48828,130.134,2,4.37363e+008
891,4,1,8,4,2,1,0,0,0,0.721928,0.986299,48828,129.865,1,3.16597e+008
893,5,1,8,4,1,3,2,2,2,0.721928,0.974707,48828,122.163,3,1.50149e+008
895,7,1,9,2,7,1,1,4,4,0.468996,1.01402,48828,137.727,1,1.03382e+009
897,3,6,4,2,1,2,0,6,6,0.970951,0.960836,48828,122.505,2,2.03317e+008
899,3,5,5,2,2,1,2,8,8,1,0.957114,48828,114.52,1,9.85424e+007
901,3,4,5,4,1,4,1,1,10,1,0.978891,48828,122.374,4,1.87897e+008
903,3,4,6,2,3,1,0,3,12,0.970951,0.963153,48828,114.52,1,9.85424e+007
905,3,3,5,4,1,2,2,5,14,1,0.986194,48828,129.863,2,3.39517e+008
907,3,3,6,4,2,1,1,7,16,0.970951,0.993133,48828,130.173,1,4.19416e+008
909,3,3,6,4,1,3,0,0,18,0.970951,0.900656,48828,92.0202,3,7.53293e+007
911,4,3,7,2,4,1,2,2,20,0.881291,0.978883,48828,122.317,1,1.9905e+008
913,3,3,5,4,1,2,1,4,22,1,0.938747,48828,115.046,2,1.03005e+008
915,3,2,6,4,2,1,0,6,24,0.970951,0.958713,48828,115.046,1,1.03005e+008
917,3,2,6,6,1,6,2,8,26,0.970951,0.946025,48828,107.226,6,8.10651e+007
919,3,2,7,4,3,1,1,1,1,0.881291,0.952684,48828,107.347,1,8.34537e+007
921,3,2,6,4,1,2,0,3,3,0.970951,0.93401,48828,107.347,2,8.34537e+007
923,3,2,7,4,2,1,2,5,5,0.881291,0.988431,48828,122.639,1,2.02117e+008
925,3,2,7,4,1,3,1,7,7,0.881291,0.973285,48828,122.391,3,1.48595e+008
927,5,2,8,2,5,1,0,0,9,0.721928,1.00011,48828,130.143,1,3.76001e+008
929,3,4,5,4,1,2,2,2,11,1,0.947388,48828,115.195,2,1.00532e+008
931,3,3,6,4,2,1,1,4,13,0.970951,0.947897,48828,107.226,1,8.10652e+007
933,3,2,6,6,1,4,0,6,15,0.970951,0.978725,48828,122.408,4,1.80187e+008
935,3,2,7,4,3,1,2,8,17,0.881291,0.986648,48828,130.237,1,3.28077e+008
937,3,2,6,6,1,2,1,1,19,0.970951,1.00819,48828,137.997,2,1.06642e+009
939,3,1,7,6,2,1,0,3,21,0.881291,0.966615,48828,122.889,1,2.19211e+008
941,3,1,7,6,1,3,2,5,23,0.881291,0.96849,48828,122.621,3,1.40973e+008
943,4,1,8,4,4,1,1,7,25,0.721928,0.974644,48828,114.868,1,1.07034e+008
945,3,3,6,4,1,2,0,0,0,0.970951,0.905434,48828,99.542,2,7.71025e+007
947,3,2,7,4,2,1,2,2,2,0.881291,0.92859,48828,99.542,1,7.71025e+007
949,3,1,7,6,1,5,1,4,4,0.881291,0.935228,48828,107.052,5,8.12159e+007
951,3,1,8,4,3,1,0,6,6,0.721928,0.967938,48828,114.845,1,1.06992e+008
953,3,2,7,4,1,2,2,8,8,0.881291,0.94966,48828,114.836,2,9.78078e+007
955,3,1,8,4,2,1,1,1,10,0.721928,0.954266,48828,114.836,1,9.78078e+007
957,4,1,8,4,1,3,0,3,12,0.721928,0.992627,48828,129.978,3,3.80205e+008
959,6,1,9,2,6,1,2,5,14,0.468996,1.01199,48828,137.577,1,1.02443e+009
961,4,5,5,2,1,2,1,7,16,1,0.943064,48828,114.744,2,9.95314e+007
963,4,4,6,2,2,1,0,0,18,0.970951,0.98419,48828,122.559,1,2.25691e+008
965,4,3,6,4,1,4,2,2,20,0.970951,0.910993,48828,99.6698,4,7.67981e+007
967,4,3,7,2,3,1,1,4,22,0.881291,0.986703,48828,130.144,1,5.39874e+008
969,4,2,6,4,1,2,0,6,24,0.970951,0.979449,48828,122.598,2,1.46827e+008
971,4,2,7,4,2,1,2,8,26,0.881291,0.93216,48828,107.222,1,7.97817e+007
973,4,2,7,4,1,3,1,1,1,0.881291,0.945305,48828,114.678,3,9.11407e+007
975,4,2,8,2,4,1,0,3,3,0.721928,0.983044,48828,122.514,1,1.55008e+008
977,4,3,6,4,1,2,2,5,5,0.970951,0.945305,48828,114.678,2,9.11407e+007
979,4,2,7,4,2,1,1,7,7,0.881291,0.992787,48828,129.959,1,4.2537e+008
981,4,1,7,6,1,7,0,0,9,0.881291,0.963745,48828,107.314,7,8.10959e+007
983,4,1,8,4,3,1,2,2,11,0.721928,1.00263,48828,129.897,1,2.99866e+008
985,4,2,7,4,1,2,1,4,13,0.881291,0.939085,48828,99.6698,2,7.67982e+007
987,4,1,8,4,2,1,0,6,15,0.721928,0.979296,48828,122.561,1,1.5184e+008
989,4,1,8,4,1,3,2,8,17,0.721928,0.944896,48828,114.513,3,9.3508e+007
991,5,1,9,2,5,1,1,1,19,0.468996,0.997649,48828,130.031,1,3.36198e+008
993,5,4,6,2,1,2,0,3,21,0.970951,0.986644,48828,130.126,2,4.70503e+008
995,5,3,7,2,2,1,2,5,23,0.881291,0.963745,48828,107.314,1,8.1096e+007
997,5,2,7,4,1,4,1,7,25,0.881291,0.954822,48828,114.556,4,5.05405e+008
999,5,2,8,2,3,1,0,0,0,0.721928,0.987765,48828,122.249,1,1.60255e+008
1001,5,2,7,4,1,2,2,2,2,0.881291,1.00784,48828,137.675,2,9.32679e+008
1003,5,1,8,4,2,1,1,4,4,0.721928,0.99074,48828,129.921,1,3.14578e+008
1005,5,1,8,4,1,3,0,6,6,0.721928,0.967354,48828,122.146,3,5.57995e+008
1007,5,1,9,2,4,1,2,8,8,0.468996,0.999775,48828,129.874,1,3.54896e+008
1009,6,3,7,2,1,2,1,1,10,0.881291,0.964092,48828,115.025,2,9.57769e+007
1011,6,2,8,2,2,1,0,3,12,0.721928,0.967561,48828,122.285,1,5.71861e+008
1013,6,1,8,4,1,5,2,5,14,0.721928,0.991993,48828,122.871,5,1.41282e+008
1015,6,1,9,2,3,1,1,7,16,0.468996,0.972889,48828,122.402,1,1.58101e+008
1017,7,2,8,2,1,2,0,0,18,0.721928,0.986201,48828,129.994,2,9.44206e+008
1019,7,1,9,2,2,1,2,2,20,0.468996,0.986161,48828,129.985,1,2.97063e+008
1021,8,1,9,2,1,3,1,4,22,0.468996,1.014,48828,138.131,3,1.47542e+009
1023,10,0,10,0,10,1,0,6,24,0,1.04231,48828,153.429,1,1.37633e+010
