number,predicted_steps,actual_steps,error,peak_value,binary_pattern
837799,106.69,329,222.31,991661525,0010100111
939497,100.49,318,217.51,2407427729,0111101001
626331,105.89,319,213.11,2407427729,1010011011
704623,105.21,316,210.79,2407427729,0001101111
927003,108.78,299,190.22,1426855661,0100011011
767903,104.73,294,189.27,25592669,1110011111
910107,111.44,299,187.56,25592669,1100011011
820023,97.22,283,185.78,25592669,1100110111
922525,94.30,280,185.70,25592669,1110011101
511935,109.56,295,185.44,25592669,1110111111
796095,111.22,294,182.78,130727105,0110111111
546681,101.39,284,182.61,25592669,1101111001
691895,95.44,278,182.56,25592669,1010110111
410011,100.40,282,181.60,25592669,0110011011
615017,101.18,281,179.82,25592669,1001101001
461263,100.25,279,178.75,25592669,0111001111
230631,99.45,278,178.55,25592669,0011100111
345947,99.03,277,177.97,25592669,1101011011
778383,98.23,275,176.77,25592669,0010001111
970599,111.69,288,176.31,41977277,1101100111
518921,99.92,276,176.08,25592669,1100001001
775035,100.19,275,174.81,193508189,1101111011
389191,99.94,274,174.06,25592669,0001000111
583787,99.37,273,173.63,25592669,0001101011
886953,109.04,280,170.96,17494428437,0010101001
906175,109.23,280,170.77,2789594477,1110111111
818943,112.89,283,170.11,39845621,1011111111
875681,102.01,272,169.99,25592669,0010100001
938143,110.35,280,169.65,18032705,0010011111
665215,111.25,278,166.75,17494428437,1001111111
985143,102.68,269,166.32,25592669,0000110111
739143,100.84,267,166.16,42137333,1101000111
997823,111.11,277,165.89,17494428437,0110111111
871915,107.14,272,164.86,193508189,0111101011
792735,110.68,275,164.32,117290177,0010011111
656761,106.75,270,163.25,25592669,0101111001
492571,106.28,268,161.72,25592669,0000011011
980905,107.33,269,161.67,193508189,1110101001
854191,102.66,264,161.34,8216025965,0010101111
919791,110.85,272,161.15,233270513,0011101111
502137,107.05,268,160.95,643355621,0101111001
640641,101.53,262,160.47,8216025965,1010000001
934299,100.70,261,160.30,3644909,0110011011
738857,106.81,267,160.19,25592669,1000101001
901291,85.60,245,159.40,197759717,0010101011
753207,108.01,267,158.99,643355621,1000110111
998969,91.04,250,158.96,42137333,1000111001
827503,105.22,264,158.78,24184565,0001101111
665979,93.08,251,157.92,42137333,0101111011
525543,99.28,257,157.72,3644909,0011100111
845223,95.31,253,157.69,132022493,0110100111
712683,101.63,259,157.37,200182877,1111101011
788315,99.03,256,156.97,3644909,1101011011
960963,104.64,261,156.36,8216025965,0111000011
749227,91.71,248,156.29,42137333,1010101011
831215,107.83,264,156.17,25592669,1011101111
735679,111.25,267,155.75,193508189,0110111111
642075,106.44,262,155.56,20038913,0000011011
877399,97.54,253,155.46,13721237,1101010111
801147,92.73,248,155.27,197759717,0101111011
720723,103.85,259,155.15,8216025965,1101010011
376603,110.98,266,155.02,643355621,1100011011
950943,106.37,261,154.63,8123885,1010011111
760465,85.65,240,154.35,197759717,1010010001
554143,110.70,265,154.30,25592669,0010011111
987081,95.72,250,154.28,13721237,1111001001
963113,107.16,261,153.84,20038913,1000101001
982663,88.25,242,153.75,35452673,1010000111
722335,105.80,259,153.20,20038913,0110011111
564905,111.82,265,153.18,643355621,1010101001
480481,106.84,260,153.16,8216025965,0011100001
935479,107.85,261,153.15,42137333,1000110111
886855,99.94,253,153.06,3644909,0001000111
912167,99.99,253,153.01,8216025965,1100100111
810815,103.03,256,152.97,8216025965,1100111111
438699,99.09,252,152.91,13721237,0110101011
608111,101.30,254,152.70,8216025965,1101101111
789311,103.36,256,152.64,42137333,1100111111
810603,92.78,245,152.22,7311005,1001101011
701607,106.82,259,152.18,42137333,0010100111
987075,97.91,250,152.09,13721237,1111000011
760467,87.94,240,152.06,197759717,1010010011
948243,90.22,242,151.78,42137333,0000010011
953279,109.28,261,151.72,643355621,1110111111
865469,93.43,245,151.57,3947777,0010111101
769305,96.62,248,151.38,3947777,0100011001
911929,90.85,242,151.15,7311005,1000111001
686985,99.86,251,151.14,25464881,1110001001
635519,111.26,262,150.74,643355621,1001111111
360361,107.32,258,150.68,8216025965,1110101001
405407,104.38,255,150.62,8216025965,1110011111
576979,95.46,246,150.54,3947777,0111010011
952479,110.49,261,150.51,59452865,0010011111
493537,98.54,249,150.46,13721237,1111100001
701609,108.92,259,150.08,42137333,0010101001
807327,105.93,256,150.07,106177013,0110011111
801769,105.96,256,150.04,200182877,1111101001
423679,113.07,263,149.93,643355621,1011111111
658049,101.08,251,149.92,13721237,1010000001
847359,114.21,264,149.79,643355621,0111111111
1,86.58,0,-86.58,1,0000000001
3,90.49,5,-85.49,5,0000000011
9,98.07,13,-85.07,17,0000001001
15,93.95,12,-81.95,53,0000001111
33,97.93,18,-79.93,33,0000100001
25,95.15,16,-79.15,29,0000011001
99,97.04,18,-79.04,149,0001100011
7,89.86,11,-78.86,17,0000000111
1023,120.62,42,-78.62,39365,1111111111
1021,111.85,34,-77.85,4373,1111111101
715,96.77,19,-77.77,1073,1011001011
201,91.63,14,-77.63,341,0011001001
163,94.61,17,-77.61,245,0010100011
2147,96.59,19,-77.59,3221,0001100011
151,89.35,12,-77.35,341,0010010111
255,109.34,32,-77.34,4373,0011111111
18111,107.18,30,-77.18,137537,1010111111
37,91.67,15,-76.67,37,0000100101
777,100.53,24,-76.53,1313,1100001001
9375,110.51,34,-76.51,120149,0010011111
19,90.41,14,-76.41,29,0000010011
48297,109.38,33,-76.38,412613,0010101001
36223,107.27,31,-76.27,412613,0101111111
383,106.95,31,-75.95,4373,0101111111
169,108.90,33,-75.90,1457,0010101001
23,86.79,11,-75.79,53,0000010111
239,110.75,35,-75.75,3077,0011101111
36217,106.74,31,-75.74,154709,0101111001
1431,95.73,20,-75.73,3221,0110010111
2007,105.70,30,-75.70,4517,1111010111
475,95.56,20,-75.56,1205,0111011011
1167,98.24,23,-75.24,3941,0010001111
127,106.13,31,-75.13,1457,0001111111
81,91.01,16,-75.01,81,0001010001
339,108.97,34,-74.97,1457,0101010011
30559,100.91,26,-74.91,154709,1101011111
159,110.85,36,-74.85,3077,0010011111
14063,107.84,33,-74.84,120149,1011101111
96595,108.83,34,-74.83,412613,0101010011
39,97.72,23,-74.72,101,0000100111
535,91.69,17,-74.69,1205,1000010111
5,78.63,4,-74.63,5,0000000101
1983,109.55,35,-74.55,16949,1110111111
4257,102.45,28,-74.45,6065,0010100001
45439,107.44,33,-74.44,517589,0101111111
60585,109.38,35,-74.38,517589,0010101001
3967,110.25,36,-74.25,45197,1101111111
49,91.25,17,-74.25,49,0000110001
7639,98.22,24,-74.22,17189,0111010111
28127,108.19,34,-74.19,142397,0111011111
3193,100.14,26,-74.14,6065,0001111001
1887,101.06,27,-74.06,9557,1101011111
59,96.06,22,-74.06,101,0000111011
5391,96.02,22,-74.02,18197,0100001111
27163,102.92,29,-73.92,154709,1000011011
583,95.84,22,-73.84,1313,1001000111
633,95.84,22,-73.84,1205,1001111001
61,87.71,14,-73.71,61,0000111101
3819,96.70,23,-73.70,7253,1011101011
1375,101.69,28,-73.69,6965,0101011111
1131,99.68,26,-73.68,1697,0001101011
29,86.66,13,-73.66,29,0000011101
331,91.47,18,-73.47,497,0101001011
10731,107.45,34,-73.45,45845,0111101011
25759,110.35,37,-73.35,330101,0010011111
67,92.30,19,-73.30,101,0001000011
575,103.15,30,-73.15,4373,1000111111
1073,91.10,18,-73.10,1073,0000110001
511,114.08,41,-73.08,13121,0111111111
121171,108.99,36,-72.99,517589,0101010011
2533,96.95,24,-72.95,2533,0111100101
1535,113.93,41,-72.93,39365,0111111111
27273,101.92,29,-72.92,77669,1010001001
713,91.89,19,-72.89,1205,1011001001
191,102.88,30,-72.88,1457,0010111111
54335,102.83,30,-72.83,412613,0000111111
22159,104.75,32,-72.75,74789,1010001111
767,112.75,40,-72.75,13121,1011111111
11,82.67,10,-72.67,17,0000001011
537,89.65,17,-72.65,605,1000011001
1191,106.65,34,-72.65,5093,0010100111
20455,99.63,27,-72.63,77669,1111100111
54547,102.63,30,-72.63,81821,0100010011
257983,109.59,37,-72.59,2203949,1110111111
11111,111.58,39,-72.58,142397,1101100111
995,90.53,18,-72.53,1493,1111100011
3687,103.47,31,-72.47,21005,1001100111
423,95.47,23,-72.47,1073,0110100111
680959,120.46,48,-72.46,26178389,1111111111
515967,110.40,38,-72.40,5877197,1101111111
1267,95.39,23,-72.39,1901,0011110011
2395,96.38,24,-72.38,6065,0101011011
54327,102.34,30,-72.34,154709,0000110111
951,93.28,21,-72.28,2141,1110110111
65,91.24,19,-72.24,65,0001000001
981,90.24,18,-72.24,981,1111010101
187,102.20,30,-72.20,317,0010111011
479,108.19,36,-72.19,3077,0111011111
1003,101.16,29,-72.16,2861,1111101011
75,83.10,11,-72.10,113,0001001011
